,Unnamed: 0,CASENUM,non_motorist,CASENUM_VEH_NO,distraction,region,weight,person involved,age,sex,alcohol,dow,hr,interstate hwy,population class,collision,injury,min,month,specific location,relation to road,intersection type,work zone,year,speed,speed limit,crash type,make,lanes,vehicle occupants,area of impact,distracted_binary
3238,3238,201011173477.0,0,201011173477.03.0,97.0,1.0,135.684,1.0,45_64,M,96.0,1.0,afternoon_rush,0.0,8.0,rear_end,none,7.0,6.0,5.0,roadway,0.0,0.0,2010.0,998.0,15_25,20.0,20.0,8.0,5,26.0,1
3239,3239,201011173481.0,0,201011173481.01.0,10.0,1.0,54.273,1.0,over_65,F,95.0,3.0,afternoon,0.0,8.0,not_motor_vehicle,non_incap,38.0,6.0,1.0,pking_zone,0.0,0.0,2010.0,998.0,15_25,11.0,18.0,8.0,1,55.0,1
3240,3240,201011173488.0,0,201011173488.01.0,0.0,1.0,130.465,1.0,25_34,M,96.0,5.0,afternoon,0.0,2.0,angle,none,40.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,35_45,87.0,18.0,4.0,1,23.0,0
3241,3241,201011173488.0,0,201011173488.02.0,97.0,1.0,130.465,1.0,15_24,F,96.0,5.0,afternoon,0.0,2.0,angle,none,40.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,15_25,86.0,37.0,2.0,2,23.0,1
3242,3242,201011173491.0,0,201011173491.01.0,0.0,1.0,52.18600000000001,1.0,15_24,M,96.0,4.0,afternoon,0.0,2.0,rear_end,possible,51.0,6.0,3.0,roadway,1.0,0.0,2010.0,0.0,35_45,21.0,24.0,2.0,2,26.0,0
3243,3243,201011173491.0,0,201011173491.02.0,1.0,1.0,52.18600000000001,1.0,45_64,M,96.0,4.0,afternoon,0.0,2.0,rear_end,possible,51.0,6.0,3.0,roadway,1.0,0.0,2010.0,998.0,35_45,20.0,59.0,2.0,1,26.0,1
3244,3244,201011173514.0,0,201011173514.01.0,10.0,1.0,300.07,1.0,35_44,M,96.0,1.0,morning_rush,0.0,2.0,not_motor_vehicle,none,50.0,6.0,1.0,pking_zone,0.0,0.0,2010.0,998.0,15_25,11.0,24.0,8.0,1,32.0,1
3245,3245,201011173517.0,0,201011173517.01.0,0.0,1.0,52.18600000000001,1.0,15_24,M,96.0,6.0,afternoon_rush,0.0,2.0,angle,possible,25.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,35_45,69.0,58.0,2.0,1,30.0,0
3246,3246,201011173517.0,0,201011173517.02.0,0.0,1.0,52.18600000000001,1.0,35_44,M,96.0,6.0,afternoon_rush,0.0,2.0,angle,possible,25.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,35_45,68.0,20.0,2.0,5,30.0,0
3247,3247,201011173527.0,0,201011173527.01.0,96.0,1.0,13.047,1.0,45_64,M,97.0,1.0,night,0.0,2.0,angle,incap,32.0,6.0,8.0,roadway,0.0,0.0,2010.0,998.0,35_45,99.0,53.0,8.0,1,32.0,0
3248,3248,201011173527.0,0,201011173527.02.0,96.0,1.0,13.047,1.0,25_34,M,97.0,1.0,night,0.0,2.0,angle,incap,32.0,6.0,8.0,roadway,0.0,0.0,2010.0,998.0,0.0,99.0,49.0,8.0,1,32.0,0
3249,3249,201011173528.0,1,201011173528.01.0,0.0,1.0,13.047,1.0,15_24,M,96.0,1.0,afternoon,0.0,2.0,not_motor_vehicle,incap,23.0,6.0,1.0,roadway,0.0,0.0,2010.0,998.0,25_35,13.0,42.0,8.0,2,32.0,0
3250,3250,201011173535.0,0,201011173535.01.0,0.0,1.0,59.361999999999995,1.0,15_24,M,96.0,6.0,afternoon_rush,0.0,8.0,angle,possible,23.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,25_35,87.0,2.0,2.0,4,23.0,0
3251,3251,201011173535.0,0,201011173535.02.0,1.0,1.0,59.361999999999995,1.0,45_64,F,96.0,6.0,afternoon_rush,0.0,8.0,angle,possible,23.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,15_25,86.0,51.0,9.0,1,23.0,1
3252,3252,201011173537.0,0,201011173537.01.0,0.0,1.0,59.361999999999995,1.0,over_65,M,96.0,3.0,afternoon,0.0,8.0,angle,possible,0.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,N/R,76.0,19.0,2.0,2,32.0,0
3253,3253,201011173537.0,0,201011173537.02.0,0.0,1.0,59.361999999999995,1.0,15_24,F,96.0,3.0,afternoon,0.0,8.0,angle,possible,0.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,25_35,77.0,37.0,2.0,2,32.0,0
3254,3254,201011173539.0,0,201011173539.01.0,97.0,1.0,296.808,1.0,U/K,U/K,96.0,3.0,late_night,0.0,8.0,not_motor_vehicle,U/K,38.0,6.0,1.0,pking_zone,0.0,0.0,2010.0,998.0,15_25,11.0,99.0,8.0,1,83.0,1
3255,3255,201011173543.0,0,201011173543.01.0,0.0,1.0,33.921,1.0,45_64,F,96.0,6.0,afternoon_rush,0.0,1.0,not_motor_vehicle,non_incap,46.0,5.0,1.0,roadside,0.0,0.0,2010.0,998.0,45_55,6.0,20.0,2.0,1,55.0,0
3256,3256,201011173555.0,0,201011173555.01.0,96.0,1.0,135.684,1.0,15_24,M,96.0,5.0,afternoon,0.0,1.0,angle,possible,12.0,6.0,2.0,roadway,2.0,0.0,2010.0,998.0,15_25,83.0,55.0,8.0,1,23.0,0
3257,3257,201011173555.0,0,201011173555.02.0,96.0,1.0,135.684,1.0,over_65,M,96.0,5.0,afternoon,0.0,1.0,angle,possible,12.0,6.0,2.0,roadway,2.0,0.0,2010.0,998.0,15_25,82.0,18.0,8.0,2,23.0,0
3258,3258,201011173558.0,0,201011173558.01.0,96.0,1.0,305.288,1.0,45_64,M,9.0,7.0,afternoon_rush,0.0,1.0,not_motor_vehicle,none,34.0,6.0,1.0,roadside,0.0,0.0,2010.0,998.0,N/R,1.0,20.0,8.0,1,55.0,0
3259,3259,201011173561.0,1,201011173561.01.0,97.0,1.0,33.921,1.0,15_24,F,96.0,1.0,afternoon,0.0,1.0,not_motor_vehicle,incap,8.0,6.0,3.0,roadway,2.0,0.0,2010.0,998.0,35_45,13.0,12.0,2.0,1,22.0,1
3260,3260,201011173564.0,0,201011173564.01.0,0.0,1.0,27.136999999999997,1.0,over_65,M,97.0,4.0,afternoon,0.0,8.0,head_on,incap,12.0,6.0,1.0,roadway,0.0,0.0,2010.0,998.0,45_55,50.0,37.0,2.0,1,55.0,0
3261,3261,201011173564.0,0,201011173564.02.0,0.0,1.0,27.136999999999997,1.0,45_64,M,97.0,4.0,afternoon,0.0,8.0,head_on,incap,12.0,6.0,1.0,roadway,0.0,0.0,2010.0,998.0,45_55,51.0,82.0,2.0,1,32.0,0
